marka,model,year,price,currency,ad_link
Volkswagen,Arteon,2021 ,59899,PLN,https://www.otomoto.pl/oferta/volkswagen-arteon-r-2-0-tsi-320-km-dsg-4motion-odbior-we-wrzesniu-ID6DTFaK.html#94d144d987
Opel,Zafira 2.0,2017 ,29000,PLN,https://www.otomoto.pl/oferta/opel-zafira-salon-fv23-gwarancja-serwisowa-7os-innovation-kamera-cofania-ID6DTFaH.html#94d144d987
BMW,Seria 5 535i,2010 ,31500,PLN,https://www.otomoto.pl/oferta/bmw-seria-5-535i-okazja-ID6DTFaD.html#94d144d987
Nissan,Juke 1.5,2011 ,15900,PLN,https://www.otomoto.pl/oferta/nissan-juke-nissan-juke-1-5-dci-ID6DTFay.html#94d144d987
Audi,A3 1.6,2006 ,49900,PLN,https://www.otomoto.pl/oferta/audi-a3-attraction1-6mpi102psklimatronicalusel-szybyel-lusterkamega-ID6DTFaq.html#94d144d987
Audi,A6 Avant,2012 ,8800,PLN,https://www.otomoto.pl/oferta/audi-a6-audi-a6-avant-2-0-ID6DTFai.html#94d144d987
Nissan,Micra,2006 ,59000,PLN,https://www.otomoto.pl/oferta/nissan-micra-sprowadzony-z-niemiec-oplacony-klima-lift-5d-ID6DTF9Q.html#94d144d987
BMW,Seria 2 218d,2017 ,12900,PLN,https://www.otomoto.pl/oferta/bmw-seria-2-navi-kamera-ostrz-o-kolizji-asystent-pasa-i-parkowania-el-klapa-ID6DTF9O.html#94d144d987
Opel,Astra,2006 ,52999,PLN,https://www.otomoto.pl/oferta/opel-astra-klimatyzacja-elektryka-cabrio-1-6-16v-niemcy-ID6DTF9F.html#94d144d987
Mercedes-Benz,GLK 320,2009 ,12990,PLN,https://www.otomoto.pl/oferta/mercedes-benz-glk-bezwypadkowy-maly-przebieg-zarejestrowany-harman-kardon-ID6DTF9B.html#94d144d987
Renault,Kangoo 1.5,2008 ,17000,PLN,https://www.otomoto.pl/oferta/renault-kangoo-1-5dci2xrozuwane-drzwijsofixklima100-bezwypadkowyuczciwy-stan-ID6DTF9x.html#94d144d987
Ford,Mondeo 2.0,2009 ,62900,PLN,https://www.otomoto.pl/oferta/ford-mondeo-do-sprzedania-ford-mondeo-polski-salon-ID6DTF9w.html#94d144d987
Skoda,Octavia,2019 ,3500,PLN,https://www.otomoto.pl/oferta/skoda-octavia-ID6DTF9t.html#94d144d987
Fiat,Tipo 1.4,2021 ,27000,PLN,https://www.otomoto.pl/oferta/fiat-tipo-sedan-1-4-95-km-czarny-metalik-rabat-6000-2021-r-ID6DTF9p.html#94d144d987
Rover,75,1999 ,5900,PLN,https://www.otomoto.pl/oferta/rover-75-rover-75-2-0-cdt-99-r-ID6DTF9m.html#94d144d987
Audi,A4 1.8,2011 ,49900,PLN,https://www.otomoto.pl/oferta/audi-a4-audi-a4-b8-1-8-tfsi-ID6DTF9a.html#94d144d987
Fiat,Croma 1.9,2005 ,55965,PLN,https://www.otomoto.pl/oferta/fiat-croma-fiat-croma-1-9-diesel-150-km-oryginalny-przebieg-auto-z-niemiec-ID6DTF95.html#94d144d987
Citroen,C4 Grand Picasso 2.0,2015 ,21000,PLN,https://www.otomoto.pl/oferta/citroen-c4-grand-picasso-2-0hdi-150km-7foteli-intensive-led-nawigacja-lopatki-masaze-kamera-ID6DTF94.html#94d144d987
Lada,Niva,2021 ,67900,PLN,https://www.otomoto.pl/oferta/lada-niva-4x4-45500-00-pln-export-ID6DTF8I.html#94d144d987
Mercedes-Benz,SLK,2003 ,75900,PLN,https://www.otomoto.pl/oferta/mercedes-benz-slk-slk-170-cabriolet-ID6DTF8A.html#94d144d987
Audi,A4,2015 ,187999,PLN,https://www.otomoto.pl/oferta/audi-a4-aso-quattro-s-line-navi-xenon-53452-km-jak-nowy-ID6DTF8m.html#94d144d987
Toyota,Auris,2018 ,14900,PLN,https://www.otomoto.pl/oferta/toyota-auris-hybrid-135-premium-comfort-salon-polska-pelny-serwis-1-wlasciciel-ID6DTF8j.html#94d144d987
Lexus,NX,2019 ,10000,PLN,https://www.otomoto.pl/oferta/lexus-nx-300h-fsport-touch-techno-navi-salon-pl-fv23-leasing-ID6DTF8i.html#94d144d987
Mercedes-Benz,W124 (1984-1993),1991 ,43900,PLN,https://www.otomoto.pl/oferta/mercedes-benz-w124-1984-1993-stan-bdb-3-0-diesel-automat-klima-ID6DTF8f.html#94d144d987
Volkswagen,Passat 2.0,2007 ,299000,PLN,https://www.otomoto.pl/oferta/volkswagen-passat-volkswagen-passat-2-0-tdi-ID6DTF7Z.html#94d144d987
Dacia,Duster,2017 ,6900,PLN,https://www.otomoto.pl/oferta/dacia-duster-serwis-navi-2-x-kola-stan-dbd-1-2tce-125km-ID6DTF7Q.html#94d144d987
Jaguar,F-Type Coupe,2019 ,112700,PLN,https://www.otomoto.pl/oferta/jaguar-f-type-salon-pl-gwarancja-1-wlasciciel-vat-ID6DTF7M.html#94d144d987
Audi,A6 3.0,2007 ,23800,PLN,https://www.otomoto.pl/oferta/audi-a6-audi-a6-c6-3-0-tdi-quattro-bixenon-navi-skora-tiptronic-ID6DTF7q.html#178c806280
Smart,Fortwo Standard,2018 ,33900,PLN,https://www.otomoto.pl/oferta/smart-fortwo-serwis-aso-faktura-23-tempomat-mp3-led-ID6DTF7j.html#178c806280
Volkswagen,Polo,2006 ,5500,PLN,https://www.otomoto.pl/oferta/volkswagen-polo-ID6DTF7d.html#178c806280
Ford,Focus 2.3,2016 ,145000,PLN,https://www.otomoto.pl/oferta/ford-focus-focus-rs-black-series-nr-44-ID6DTF6Y.html#178c806280
Opel,Zafira 2.0,2018 ,68899,PLN,https://www.otomoto.pl/oferta/opel-zafira-salon-fv23-gwarancja-serwisowa-7os-innovation-panorama-ID6DTF6X.html#178c806280
Alfa-Romeo,Romeo Stelvio,2021 ,4800,PLN,https://www.otomoto.pl/oferta/alfa-romeo-stelvio-veloce-2-0-280km-asystent-jazdy-w-korku-ID6DTF6W.html#178c806280
Volkswagen,Passat 2.0,2007 ,112900,PLN,https://www.otomoto.pl/oferta/volkswagen-passat-anglik-ID6DTF6J.html#178c806280
Alfa-Romeo,Romeo Stelvio,2021 ,22000,PLN,https://www.otomoto.pl/oferta/alfa-romeo-stelvio-business-bi-ksenon-czujniki-cofania-kamera-teraz-5-lat-gwarancji-ID6DTF6I.html#178c806280
Mitsubishi,Outlander 2.0,2019 ,59900,PLN,https://www.otomoto.pl/oferta/mitsubishi-outlander-imstyle-plus-4x4-automat-full-led-krajowy-7-os-ID6DTF6z.html#178c806280
Alfa-Romeo,Romeo Giulia,2021 ,69900,PLN,https://www.otomoto.pl/oferta/alfa-romeo-giulia-business-kamera-czujniki-parkowania-teraz-z-gwarancja-na-5-lat-ID6DTF6j.html#178c806280
Nissan,Qashqai 1.5,2007 ,17900,PLN,https://www.otomoto.pl/oferta/nissan-qashqai-1-5-dci-bezwypadkowy-swiezo-sprowadzony-z-niemiec-oplacony-ID6DTF5U.html#178c806280
Suzuki,SX4 S-Cross,2017 ,10750,PLN,https://www.otomoto.pl/oferta/suzuki-sx4-s-cross-krajowy-1-wlasciciel-led-kamera-ID6DTF5K.html#178c806280
Lincol,,2014 ,32900,PLN,https://www.otomoto.pl/oferta/lincoln-mkc-2-0-benzyna-biala-perla-full-wyposazenie-przepiekny-ID6DTF5N.html#178c806280
Ford,S-Max 1.8,2008 ,26900,PLN,https://www.otomoto.pl/oferta/ford-s-max-for-s-max-titanium-bezwypadkowy-100-org-przebieg-serwis-aso-ID6DTF5E.html#178c806280
Honda,HR-V 1.6,1999 ,69900,PLN,https://www.otomoto.pl/oferta/honda-hr-v-1-6-benzyna-105km-lpg-4x4-klimatyzacja-ii-wlasciciel-ID6DTF5B.html#178c806280
Jeep,Grand Cherokee,2006 ,12000,PLN,https://www.otomoto.pl/oferta/jeep-grand-cherokee-limited-3-0d-218km-4x4-bogate-wyposazenie-gwarancja-ID6DTF5A.html#178c806280
Opel,Insignia 2.0,2011 ,76500,PLN,https://www.otomoto.pl/oferta/opel-insignia-2-0-diesel-130km-2011r-manual-biala-2xpdc-hatchback-po-oplatach-ID6DTF5g.html#178c806280
Renault,Talisman,2017 ,11900,PLN,https://www.otomoto.pl/oferta/renault-talisman-serwis-automat-full-led-parkassist-ID6DTF56.html#178c806280
Opel,Astra III,2006 ,26500,PLN,https://www.otomoto.pl/oferta/opel-astra-opel-astra-iii-ID6DTF4Y.html#178c806280
Skoda,Scala,2020 ,8400,PLN,https://www.otomoto.pl/oferta/skoda-scala-darmowa-dostawa-vat-23-klima-auto-salon-pl-grzame-fotele-ID6DTF4J.html#178c806280
Opel,Agila 1.2,2008 ,4500,PLN,https://www.otomoto.pl/oferta/opel-agila-ID6DTF4s.html#178c806280
Volkswagen,Touareg 3.0,2005 ,84900,PLN,https://www.otomoto.pl/oferta/volkswagen-touareg-volkswagen-touareg-3-0-tdi-ID6DTF4p.html#178c806280
Ford,Focus 1.6,2007 ,14777,PLN,https://www.otomoto.pl/oferta/ford-focus-klimatronic-serwis-po-oplatach-ID6DTF4j.html#178c806280
Audi,A6 2.7,2005 ,35900,PLN,https://www.otomoto.pl/oferta/audi-a6-audi-a6-c6-2-7-tdi-silnik-zapala-ID6DTF4a.html#178c806280
Audi,A3,2018 ,21900,PLN,https://www.otomoto.pl/oferta/audi-a3-sportback-1-5-tfsi-150km-s-tronic-aso-salonpl-fv23-gwarancja-ID6DTF45.html#178c806280
Opel,Signum,2006 ,15900,PLN,https://www.otomoto.pl/oferta/opel-signum-1-8-140-konie-tempomat-climatronic-komputer-szyberdach-polecam-ID6DTF43.html#178c806280
Skoda,Superb 2.0,2009 ,24900,PLN,https://www.otomoto.pl/oferta/skoda-superb-skoda-superb-ii-ID6DTF3Y.html#178c806280
Hyundai,I30,2011 ,16900,PLN,https://www.otomoto.pl/oferta/hyundai-i30-i30-cw-lift-klimatronic-reling-niski-przebieg-ID6DTF3R.html#178c806280
Suzuki,SX4 1.6,2008 ,59000,PLN,https://www.otomoto.pl/oferta/suzuki-sx4-1-6i-16v-107km-super-stan-100-oryginal-1wlasc-rejestr-256zl-ID6DTF3I.html#178c806280
Volkswagen,Caravelle,2012 ,59900,PLN,https://www.otomoto.pl/oferta/volkswagen-caravelle-2-0-tdi-bitdi-180km-4x4-4motion-1wl-salon-pl-ID6DTF35.html#e1fa481f46
Volvo,V50 1.6D,2005 ,10900,PLN,https://www.otomoto.pl/oferta/volvo-v50-1-6d-109kmklimatronikgrzane-foteletempomatalufelgizadbany-ID6DTF2P.html#e1fa481f46
Mercedes-Benz,SL,1982 ,99000,PLN,https://www.otomoto.pl/oferta/mercedes-benz-sl-mercedes-sl380-w107-ID6DTF2S.html#e1fa481f46
Skoda,Scala 1.0,2020 ,69900,PLN,https://www.otomoto.pl/oferta/skoda-scala-1-0-tsi-110km-salon-polska-serwis-aso-pierwszy-wlasciciel-fv23-ID6DTF2L.html#e1fa481f46
Nissan,Micra 1.4,2005 ,7900,PLN,https://www.otomoto.pl/oferta/nissan-micra-stan-dobry-bogate-wyposazenie-1-4-benzyna-ID6DTF2C.html#e1fa481f46
Ford,Transit Connect (Lang),2013 ,21000,PLN,https://www.otomoto.pl/oferta/ford-transit-connect-ID6DTF2v.html#e1fa481f46
Ford,Fiesta 1.25,2003 ,5500,PLN,https://www.otomoto.pl/oferta/ford-fiesta-ford-fiesta-1-2-ID6DTF2q.html#e1fa481f46
Ford,Mustang 5.0,2014 ,74000,PLN,https://www.otomoto.pl/oferta/ford-mustang-2015-ford-mustang-gt-dobrastronamocy-ID6DTF2m.html#e1fa481f46
Skoda,Octavia 2.0,2018 ,54900,PLN,https://www.otomoto.pl/oferta/skoda-octavia-2-0-tdi-150km-salon-polska-serwis-aso-pierwszy-wlasciciel-fv23-ID6DTF2l.html#e1fa481f46
Ford,Focus 2.3,2017 ,99900,PLN,https://www.otomoto.pl/oferta/ford-focus-ford-focus-rs-duza-navi-dab-ID6DTF2g.html#e1fa481f46
Audi,A4,2001 ,15900,PLN,https://www.otomoto.pl/oferta/audi-a4-quattro-1-8t-oplacony-zadbany-gwarancja-przebiegu-bose-s-line-ID6DTF26.html#e1fa481f46
Renault,Kadjar,2018 ,72900,PLN,https://www.otomoto.pl/oferta/renault-kadjar-kadjar-1-2-energy-tce-s-edition-edc-ID6DTF1Z.html#e1fa481f46
Ford,Transit,2007 ,19900,PLN,https://www.otomoto.pl/oferta/ford-transit-ladny-130-km-l2h3-8-osobowy-zadbany-faktura-vat-23-dlugi-wysoki-ID6DTF1X.html#e1fa481f46
Nissan,Qashqai 2.0,2011 ,39400,PLN,https://www.otomoto.pl/oferta/nissan-qashqai-2-0-benzyna-kamera-navi-serwisowany-ID6DTF1V.html#e1fa481f46
Opel,Vectra GTS,2006 ,11500,PLN,https://www.otomoto.pl/oferta/opel-vectra-opel-vectra-c-2006-gts-ID6DTF1Q.html#e1fa481f46
Ford,Mondeo 2.0,2017 ,69900,PLN,https://www.otomoto.pl/oferta/ford-mondeo-titanium-full-led-bogate-wyposazenie-ID6DTF1N.html#e1fa481f46
Seat,Leon 1.4,2017 ,59900,PLN,https://www.otomoto.pl/oferta/seat-leon-1-4-tsi-125km-fr-salon-polska-serwis-aso-pierwszy-wlasciciel-fv23-ID6DTF1J.html#e1fa481f46
Toyota,Auris,2014 ,39500,PLN,https://www.otomoto.pl/oferta/toyota-auris-od-wlascicielki-z-polskiego-salonu-maly-udokumentowany-przebieg-ID6DTF1z.html#e1fa481f46
Peugeot,Partner Tepee,2009 ,17999,PLN,https://www.otomoto.pl/oferta/peugeot-partner-1-6hdi90km2xrozuwane-drzwiklimagotowy-do-drogizarejestrowany-w-pl-ID6DTF1l.html#e1fa481f46
Opel,Astra GTC,2015 ,35900,PLN,https://www.otomoto.pl/oferta/opel-astra-1-4-turbo-120km-2015r-alufelgi-komplet-kluczy-klimatyzacja-ID6DTF1f.html#e1fa481f46
Seat,Leon 1.4,2016 ,54900,PLN,https://www.otomoto.pl/oferta/seat-leon-1-4tsi-fr-125km-salonpl-1wl-serwisowany-fv23-ID6DTF0X.html#e1fa481f46
Peugeot,607 2.2,2002 ,4000,PLN,https://www.otomoto.pl/oferta/peugeot-607-ID6DTF0Q.html#e1fa481f46
Peugeot,207 CC 120,2009 ,16900,PLN,https://www.otomoto.pl/oferta/peugeot-207-cc-gotowy-do-rejestracji-bezwypadkowy-potwierdzony-przebieg-auta-ID6DTF0J.html#e1fa481f46
Renault,Clio 1.2,2017 ,45900,PLN,https://www.otomoto.pl/oferta/renault-clio-renault-clio-wersja-limited-automat-ID6DTF0K.html#e1fa481f46
Chevrolet,Lacetti,2006 ,5999,PLN,https://www.otomoto.pl/oferta/chevrolet-lacetti-chevrolet-lacetti-1-4-benzyna-gaz-polski-salon-ID6DTF0G.html#e1fa481f46
Ford,Focus 1.6,2012 ,26000,PLN,https://www.otomoto.pl/oferta/ford-focus-ford-focus-salon-polska-ID6DTF0E.html#e1fa481f46
Fiat,Punto Evo,2010 ,17900,PLN,https://www.otomoto.pl/oferta/fiat-punto-evo-krajowy-bezwypadkowy-1-wlasciciel-ID6DTF0B.html#e1fa481f46
Opel,Vectra 1.8,2004 ,7500,PLN,https://www.otomoto.pl/oferta/opel-vectra-opel-vectra-c-kombi-1-8-lpg-2004r-ID6DTF0w.html#e1fa481f46
Audi,A4,2002 ,10800,PLN,https://www.otomoto.pl/oferta/audi-a4-klimatronic-serwis-po-oplatach-ID6DTF0p.html#e1fa481f46
Opel,Zafira,2002 ,2590,PLN,https://www.otomoto.pl/oferta/opel-zafira-2002-r-opc-2-0-dti-klima-fotel-grzany-dlugie-oplaty-do-jazdy-ID6DTF0k.html#e1fa481f46
Mitsubishi,Outlander 2.0,2017 ,85362,PLN,https://www.otomoto.pl/oferta/mitsubishi-outlander-brutto-mitsubishi-outlander-2-0-intense-sda-4wd-cvt-ID6DTF0j.html#e1fa481f46
Audi,A3,2018 ,84900,PLN,https://www.otomoto.pl/oferta/audi-a3-1-5-iwl-salonpl-fv23-ID6DTF0b.html#e1fa481f46
Suzuki,SX4,2009 ,23900,PLN,https://www.otomoto.pl/oferta/suzuki-sx4-100-procent-bezwypadkowy-4x4-sprowadzony-ID6DTEZX.html#4e435f05af
Peugeot,508 SW,2021 ,15500,PLN,https://www.otomoto.pl/oferta/peugeot-508-sw-gt-pack-180km-benzyna-tel-660-017-628-ID6DTEZS.html#4e435f05af
Dacia,Logan,2016 ,3400,PLN,https://www.otomoto.pl/oferta/dacia-logan-zarejestrowany-faktura-vat-marza-ID6DTEZC.html#4e435f05af
Daewoo,Lanos 1.6,2004 ,41999,PLN,https://www.otomoto.pl/oferta/daewoo-lanos-stan-bdb-gaz-i-wlasciciel-sedan-ID6DTEZs.html#4e435f05af
Renault,Megane 1.5,2017 ,99000,PLN,https://www.otomoto.pl/oferta/renault-megane-66-000km-110ps-6-biegow-navigacja-gt-line-super-stan-zarejestrowany-ID6DTEZm.html#4e435f05af
Volkswagen,Passat 1.5,2019 ,65500,PLN,https://www.otomoto.pl/oferta/volkswagen-passat-highline-1-5-tsi-act150-km-dsg-led-top-active-info-kamera-salon-pl-ID6DTEZ6.html#4e435f05af
Mercedes-Benz,Klasa E 200,2013 ,4300,PLN,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-e200-avantgarde-tempomat-nawigacja-led-czujniki-ID6DTEZ4.html#4e435f05af
Ford,Fiesta 1.3,2002 ,18500,PLN,https://www.otomoto.pl/oferta/ford-fiesta-benzyna-klimatyzacja-oplacony-ID6DTEZ3.html#4e435f05af
Ford,Grand C-MAX 2.0,2011 ,210000,PLN,https://www.otomoto.pl/oferta/ford-grand-c-max-ford-grand-c-max-ID6DTEYV.html#4e435f05af
Porsche,Boxster PDK,2014 ,12500,PLN,https://www.otomoto.pl/oferta/porsche-boxster-porsche-boxster-981-ID6DTEYQ.html#4e435f05af
Opel,Signum 1.9,2008 ,22900,PLN,https://www.otomoto.pl/oferta/opel-signum-prywatne-ID6DTEYA.html#4e435f05af
Toyota,Prius (Hybrid),2007 ,62900,PLN,https://www.otomoto.pl/oferta/toyota-prius-bogata-wersja-bez-korozji-oplacony-ID6DTEYv.html#4e435f05af
Suzuki,Jimny 1.3,2015 ,42900,PLN,https://www.otomoto.pl/oferta/suzuki-jimny-70tyskm-full-opcja-serwis-aso-jak-nowy-skory-1wl-ID6DTEYj.html#4e435f05af
Volkswagen,Golf 1.4,2016 ,135000,PLN,https://www.otomoto.pl/oferta/volkswagen-golf-1-wlasciciel-serwisowany-w-aso-polski-salon-bogato-wyposazony-ID6DTEYi.html#4e435f05af
Audi,A6,2018 ,14900,PLN,https://www.otomoto.pl/oferta/audi-a6-s-line-3-0-benz-quattro-faktura-vat-ID6DTEYd.html#4e435f05af
Fiat,Linea,2011 ,50900,PLN,https://www.otomoto.pl/oferta/fiat-linea-linea-1-4-active-salon-pl-serwisowany-dealer-ID6DTEY0.html#4e435f05af
Mazda,2 SKYACTIV-G,2019 ,3300,PLN,https://www.otomoto.pl/oferta/mazda-2-mazda-2-stan-jak-nowy-bogate-wyposazenie-ID6DTEXT.html#4e435f05af
Toyota,Yaris,2001 ,29900,PLN,https://www.otomoto.pl/oferta/toyota-yaris-toyota-yaris-1-0-ID6DTEXB.html#4e435f05af
Renault,Clio,2021 ,109990,PLN,https://www.otomoto.pl/oferta/renault-clio-clio-1-0-tce-zen-ID6DTEXC.html#4e435f05af
Volkswagen,Touran 1.4,2014 ,36400,PLN,https://www.otomoto.pl/oferta/volkswagen-touran-ID6DTEXa.html#4e435f05af
Kia,Sorento,2015 ,141900,PLN,https://www.otomoto.pl/oferta/kia-sorento-2-2-crdi-200-awd-automat-xl-pakiety-salon-pl-gwarancja-fv-ID6DTEX1.html#4e435f05af
Skoda,Fabia 1.0,2018 ,67900,PLN,https://www.otomoto.pl/oferta/skoda-fabia-ambition-salon-pl-i-wlasciciel-serwis-aso-vat-23-ID6DTEVw.html#4e435f05af
Toyota,Camry,2020 ,49900,PLN,https://www.otomoto.pl/oferta/toyota-camry-toyota-camry-2-5-hybrid-executive-e-cvt-vip-ID6DTEVo.html#4e435f05af
Toyota,Auris,2018 ,41900,PLN,https://www.otomoto.pl/oferta/toyota-auris-1-6-selection-comfort-instalacja-lpg-ID6DTEV9.html#4e435f05af
Honda,Civic,2015 ,15800,PLN,https://www.otomoto.pl/oferta/honda-civic-salon-polska-pierwszy-wlasciciel-1-8-benzyna-140km-sedan-ID6DTEV2.html#4e435f05af
BMW,Seria 3 328i,2012 ,20500,PLN,https://www.otomoto.pl/oferta/bmw-seria-3-ID6DTEWK.html#4e435f05af
Peugeot,207 CC 120,2009 ,13990,PLN,https://www.otomoto.pl/oferta/peugeot-207-cc-skora-grzane-fotele-klimatronik-bezwypadkwy-ID6DTEWB.html#4e435f05af
Volkswagen,Polo 1.4,2013 ,24300,PLN,https://www.otomoto.pl/oferta/volkswagen-polo-volkswagen-polo-6r-ID6DTEWu.html#4e435f05af
Volkswagen,Golf Plus 1.9,2007 ,32900,PLN,https://www.otomoto.pl/oferta/volkswagen-golf-plus-tour-ID6DTEWn.html#4e435f05af
Volvo,S80 2.4D,2008 ,16000,PLN,https://www.otomoto.pl/oferta/volvo-s80-volvo-s80-ID6DTEW6.html#4e435f05af
Toyota,Aygo 1.0,2010 ,15000,PLN,https://www.otomoto.pl/oferta/toyota-aygo-perelka-5-drzwi-klimatyzacja-100000km-ks-serwisowa-z-niemiec-ID6DTEUG.html#684eff33c1
